PublishedVersion	CategoryID	CategoryName	PresentationName	FullName	CategoryDescription	Position	Visible	Template	CategoryType	PageTitle	Manufacturer	MetaKeywords	MetaDescription	ImageThumbnail	Image1	BannerSetID	ShowCategoryFinder	Slug	Cat_BV_FriendRecPercent	Cat_BV_NumberOfReviews	Cat_BV_NumFriendRec	Cat_BV_ScoreOutOfFive	cat_printer_series
P_TEST_2014_06_03_18_01_01	1	Toner & Ink Cartridges			"<h2>Do You Need a Printer Ink Cartridge?</h2><p>Whichever brand of printer cartridge you're looking for, here at Cartridge People we supply from every major manufacturer at prices we believe are extremely competitive.  All of our prices even include delivery so there are no hidden costs.</p><h2>Do You Need a Laser Cartridge?</h2><p>Those of you who are shouting “yes”  have definitely come to the right place.  We have a terrific selection of laser cartridges from all your favourite brands and it's really easy to place an order.</p><h2>How To Place An Order</h2><p>This is really straightforward.  First select the make of printer.  Every time you press “select”  will bring another drop down choice until it supplies the details and price of your chosen ink, toner or laser cartridge.</p><h2>Don't Want to Pay Top Price for Your Printer Cartridge?</h2><p>Of course you don't, which is why we believe our price – and service – is amongst the best available. </p><p>Our extensive range of ink cartridges currently available include <a href=""/epages/cartridgepeople.storefront/EN/Catalog/484/hewlett-packard"">HP printer cartridges</a>, Apple, <a href=""/epages/cartridgepeople.storefront/EN/Catalog/35/brother"">Brother cartridges</a>, BT, <a href=""/epages/cartridgepeople.storefront/EN/Catalog/160/canon"">Canon printer cartridges</a>, <a href=""/epages/cartridgepeople.storefront/EN/Catalog/363/epson"">Epson ink cartridges</a>,  IBM, <a href=""/epages/cartridgepeople.storefront/EN/Catalog/729/lexmark"">Lexmark ink cartridges</a>, OKI, Olivetti, Panasonic and Xerox – and these certainly aren't, by any means, our full  range</p><p>Don't assume that because we offer low prices that the quality of the cartridges is poor.  Nothing could be further from the truth. </p> <h2>Remanufactured Printer Ink Cartridges</h2><p>Because these aren't manufactured by the companies who build the printers, our remanufactured printer cartridges are especially good value. They are chosen by us from carefully screened manufacturers for their excellent quality and much cheaper price.</p><h2>Our Customer Service Team</h2><p>We're here for you - and not just when you want to place an order.  We have our dedicated customer support staff available from 9am to 6pm Monday to Friday and 10am to 5pm on Sunday.  They are always happy to receive a phone call enquiry or email from you.  They are all knowledgeable about the full range of our products and will be delighted to advise you if you need any assistance.</p><h2>Special Offers</h2><p>Look through our online store or special offers page to find details of our current special prices.  As we regularly have special offers available, make sure you look regularly  so you don't miss out on the newest deals.</p><h2>Delivery Charges</h2><p>There aren't any!  We don't charge for the delivery of any of our printer cartridges, toner or laser cartridges throughout the whole of the UK.  In fact whether your order is for one cartridge or one hundred cartridges, as long as we are delivering to a UK address we don't ever make additional charges.</p><p>We don't like it when a company makes hidden charges, so we make a point of including everything within our low prices.</p>"	10050	TRUE	SubCat		Printer Ink Cartridges & Toner Cartridges | Cartridge People							TRUE	Printer-Ink-Cartridges---Toner-Cartridges---Cartridge-People					
P_TEST_2014_06_03_18_01_01	10276	Canon Linea Series				29390	TRUE	SubCat		Canon Linea Series Ink Cartridges &amp; Printer Ink				assets/logos/canon.gif		Cat-00011-160	TRUE						
P_TEST_2014_06_03_18_01_01	10277	Canon Pixus Printers				29420	TRUE	SubCat		Canon Pixus Printers Ink Cartridges &amp; Printer Ink				assets/logos/canon.gif		Cat-00011-160	TRUE						
P_TEST_2014_06_03_18_01_01	10278	Canon Plotters				29750	TRUE	SubCat		Canon Plotters Ink Cartridges &amp; Printer Ink				assets/logos/canon.gif		Cat-00011-160	TRUE						
P_TEST_2014_06_03_18_01_01	10279	Canon BIJ Printers				29320	TRUE	SubCat		Canon BIJ Printers Ink Cartridges &amp; Printer Ink				assets/logos/canon.gif		Cat-00011-160	TRUE						
P_TEST_2014_06_03_18_01_01	10282	Canon Thinkpad				29730	TRUE	SubCat		Canon Thinkpad Ink Cartridges &amp; Printer Ink				assets/logos/canon.gif		Cat-00011-160	TRUE						
P_TEST_2014_06_03_18_01_01	106	"Brother DP, LW, MP, PDP, PPF & WP series Inkjet Printers"	"Cartridges for Brother DP, LW, MP, PDP, PPF & WP series Inkjet Printers Printers"			10740	TRUE	SubCat		"Brother DP, LW, MP, PDP, PPF & WP series Inkjet Printers Ink Cartridges &amp; Printer Ink"		"Ink Cartridges, Toner Cartridges, Printer Ink, Brother DP, LW, MP, PDP, PPF & WP series Inkjet Printers Printers"	"First Class Delivery and 100% No Quibble Guarantee on all Cartridges for Brother DP, LW, MP, PDP, PPF & WP series Inkjet Printers Printers"	assets/logos/brother.gif		Cat-00010-35	TRUE						
P_TEST_2014_06_03_18_01_01	108	Brother DCP series	Cartridges for Brother DCP series Printers			10680	TRUE	SubCat		Brother DCP series Printers Ink Cartridges &amp; Printer Ink		"Ink Cartridges, Toner Cartridges, Printer Ink, Brother DCP series Printers"	First Class Delivery and 100% No Quibble Guarantee on all Cartridges for Brother DCP series Printers	assets/logos/brother.gif		Cat-00010-35	TRUE	Brother/DCP					
P_TEST_2014_06_03_18_01_01	110	Brother Multifunctional (MFC series).	Cartridges for Brother Multifunctional (MFC series). Printers			10720	TRUE	SubCat		Brother Multifunctional (MFC series). Printers Ink Cartridges &amp; Printer Ink		"Ink Cartridges, Toner Cartridges, Printer Ink, Brother Multifunctional (MFC series). Printers"	First Class Delivery and 100% No Quibble Guarantee on all Cartridges for Brother Multifunctional (MFC series). Printers	assets/logos/brother.gif		Cat-00010-35	TRUE						
P_TEST_2014_06_03_18_01_01	111	MFC 7000FC	Brother MFC 7000FC Ink Cartridges &amp; Printer Ink	Brother MFC 7000FC		16610	TRUE	Tabs	Printer	Brother MFC 7000FC Ink Cartridges &amp; Printer Ink	Brother	"Ink, Printer Ink, Ink Cartridge, Brother MFC 7000FC "	Printer Ink Cartridges for Brother MFC 7000FC - Original Ink Cartridges for Brother MFC 7000FC. Compatible Ink Cartridges for Brother MFC 7000FC. First Class Delivery and 100% No Quibble Guarantee			Cat-00010-35	FALSE						
